epoch,train_loss,train_acc,test_loss,test_acc
1,1.925281164862893,0.17634297520661157,1.8430016040802002,0.2621753246753247
2,1.8006863398985429,0.2575413223140496,1.7819974043152549,0.24959415584415587
3,1.6828186750411986,0.3330578512396694,1.638511137528853,0.35714285714285715
4,1.5777596300298518,0.37913223140495866,1.4603270183910022,0.45089285714285715
5,1.532820125059648,0.4201962809917355,1.4697325825691223,0.429586038961039
6,1.4508078531785444,0.45253099173553724,1.3227432695302097,0.5117694805194805
7,1.3721122915094548,0.48977272727272725,1.2125677656043659,0.5698051948051949
8,1.2450998057018627,0.5385847107438017,1.099551945924759,0.6022727272727273
9,1.1995340379801664,0.5598657024793389,1.0592414167794315,0.6140422077922078
10,1.1024250052191995,0.59375,1.0065323981371792,0.6440746753246753
11,1.0874299157749523,0.609607438016529,0.9241980178789659,0.627637987012987
12,1.0059899601069364,0.6223657024793388,0.7972991168498993,0.6970373376623377
13,0.9430550878698175,0.6700413223140496,0.8136829286813736,0.6907467532467533
14,0.9311200196092779,0.6550103305785123,0.7468623478304256,0.7351866883116883
15,0.8309363354336131,0.6942148760330579,0.6610360877080397,0.7621753246753247
16,0.7631864081729542,0.7212293388429751,0.6364377276463942,0.7564935064935064
17,0.7698595149950548,0.7274793388429751,0.5858846225521781,0.8070211038961038
18,0.7159577662294562,0.7394628099173554,0.5239208096807654,0.809862012987013
19,0.6245579080148177,0.7808367768595041,0.4962546920234507,0.8232548701298701
20,0.639612802863121,0.7736570247933885,0.44673056629571045,0.8317775974025974
21,0.5789907878095454,0.7890495867768595,0.5472358018159866,0.8218344155844156
22,0.5784602251919833,0.7853822314049587,0.4346632727167823,0.859172077922078
23,0.679368994994597,0.7723140495867769,0.5900328091599725,0.7668425324675325
24,0.5633733559738506,0.7992768595041323,0.40404860404404724,0.8614042207792209
25,0.4812543717297641,0.8259814049586777,0.35086505792357703,0.8794642857142857
26,0.4640587018294768,0.8370351239669421,0.35144751925360074,0.8756087662337663
27,0.39902529418468474,0.8642561983471074,0.29960806938734924,0.9040178571428572
28,0.366124628348784,0.869111570247934,0.2466119294139472,0.9159902597402598
29,0.3936464404517954,0.8545971074380165,0.24969256296753883,0.9214691558441558
30,0.3884271350773898,0.8671487603305785,0.2489071942188523,0.9159902597402598
31,0.3208047767931765,0.884090909090909,0.30576767501505936,0.901176948051948
32,0.3255052471702749,0.8807851239669422,0.23143055052919823,0.926948051948052
33,0.3451614125208421,0.8833161157024794,0.21196816539899868,0.9293831168831169
34,0.31846884353594346,0.8895661157024793,0.20365645397793164,0.9340503246753247
35,0.2753345183350823,0.9054752066115703,0.19307621094313535,0.9316152597402598
36,0.3015788105401126,0.8977789256198346,0.2021557604047385,0.9293831168831169
37,0.31570764752951536,0.8920971074380165,0.17500624560158362,0.9543425324675325
38,0.2842909116636623,0.9026342975206613,0.18478895181959326,0.9389204545454546
39,0.3575874179601669,0.8832644628099173,0.24889580329710786,0.9101055194805194
40,0.2882292228666219,0.9048553719008264,0.15371058390221812,0.9596185064935064
41,0.20367002223025668,0.9264462809917355,0.14184901710938325,0.9559659090909091
42,0.2043440812013366,0.9318181818181818,0.15375708136707544,0.9569805194805194
43,0.19184805872765454,0.9327479338842976,0.23246447183191776,0.9247159090909091
44,0.28676247190345416,0.9043904958677687,0.3377237728034908,0.8989448051948052
45,0.24633915045044638,0.9162190082644628,0.1542905174534429,0.9502840909090909
46,0.2316910084336996,0.9292871900826446,0.14351494127715175,0.9472402597402598
47,0.18871541389010169,0.9355371900826446,0.15765363392843443,0.9484577922077921
48,0.1847322153774175,0.9400826446280991,0.12830010911619122,0.9598214285714285
49,0.20862867432561788,0.9290289256198346,0.17026245153763078,0.9441964285714285
50,0.17720227126370777,0.9392045454545455,0.11985420977527445,0.9600243506493507
